trial,N,mapType,density,seed,diag,heuristicUI,deceptiveMaze,algo,algoHeuristic,runtimeMs,nodesExpanded,peakFrontier,pathLength,found,optimal
0,64,Maze,0,0,0,Manhattan,1,BFS,None,0.9583,1921,6,881,1,1
0,64,Maze,0,0,0,Manhattan,1,Dijkstra,None,1.3618,1921,5,881,1,1
0,64,Maze,0,0,0,Manhattan,1,Greedy,Manhattan,1.4413,1883,8,881,1,1
0,64,Maze,0,0,0,Manhattan,1,A*,WallAware,1.4130,1849,7,881,1,1
0,64,Maze,0,0,0,Manhattan,1,BiA*,WallAware,1.2439,1795,12,881,1,1
1,64,Maze,0,1001,0,Manhattan,1,BFS,None,0.2669,1921,7,1035,1,1
1,64,Maze,0,1001,0,Manhattan,1,Dijkstra,None,0.5097,1921,6,1035,1,1
1,64,Maze,0,1001,0,Manhattan,1,Greedy,Manhattan,0.7538,1524,17,1035,1,1
1,64,Maze,0,1001,0,Manhattan,1,A*,WallAware,1.2185,1915,7,1035,1,1
1,64,Maze,0,1001,0,Manhattan,1,BiA*,WallAware,0.9997,1739,8,1035,1,1
2,64,Maze,0,2002,0,Manhattan,1,BFS,None,0.6222,1921,7,1061,1,1
2,64,Maze,0,2002,0,Manhattan,1,Dijkstra,None,0.8387,1921,5,1061,1,1
2,64,Maze,0,2002,0,Manhattan,1,Greedy,Manhattan,0.7913,1913,8,1061,1,1
2,64,Maze,0,2002,0,Manhattan,1,A*,WallAware,0.7415,1921,8,1061,1,1
2,64,Maze,0,2002,0,Manhattan,1,BiA*,WallAware,0.7350,1894,12,1061,1,1
3,64,Maze,0,3003,0,Manhattan,1,BFS,None,0.4155,1911,10,803,1,1
3,64,Maze,0,3003,0,Manhattan,1,Dijkstra,None,0.4402,1911,9,803,1,1
3,64,Maze,0,3003,0,Manhattan,1,Greedy,Manhattan,0.4138,1592,11,803,1,1
3,64,Maze,0,3003,0,Manhattan,1,A*,WallAware,0.5842,1886,10,803,1,1
3,64,Maze,0,3003,0,Manhattan,1,BiA*,WallAware,0.8094,1884,13,803,1,1
4,64,Maze,0,4004,0,Manhattan,1,BFS,None,0.3450,1921,10,604,1,1
4,64,Maze,0,4004,0,Manhattan,1,Dijkstra,None,0.5336,1921,9,604,1,1
4,64,Maze,0,4004,0,Manhattan,1,Greedy,Manhattan,0.4045,1869,8,604,1,1
4,64,Maze,0,4004,0,Manhattan,1,A*,WallAware,0.4636,1916,10,604,1,1
4,64,Maze,0,4004,0,Manhattan,1,BiA*,WallAware,0.7080,1323,11,604,1,1
5,64,Maze,0,5005,0,Manhattan,1,BFS,None,0.3395,1921,12,605,1,1
5,64,Maze,0,5005,0,Manhattan,1,Dijkstra,None,0.4277,1921,12,605,1,1
5,64,Maze,0,5005,0,Manhattan,1,Greedy,Manhattan,0.2358,1094,7,605,1,1
5,64,Maze,0,5005,0,Manhattan,1,A*,WallAware,0.4664,1921,9,605,1,1
5,64,Maze,0,5005,0,Manhattan,1,BiA*,WallAware,0.5963,1261,12,605,1,1
6,64,Maze,0,6006,0,Manhattan,1,BFS,None,0.3150,1921,7,996,1,1
6,64,Maze,0,6006,0,Manhattan,1,Dijkstra,None,0.4291,1921,6,996,1,1
6,64,Maze,0,6006,0,Manhattan,1,Greedy,Manhattan,0.4333,1468,14,996,1,1
6,64,Maze,0,6006,0,Manhattan,1,A*,WallAware,0.5659,1918,6,996,1,1
6,64,Maze,0,6006,0,Manhattan,1,BiA*,WallAware,0.6103,1900,12,996,1,1
7,64,Maze,0,7007,0,Manhattan,1,BFS,None,0.3122,1921,8,806,1,1
7,64,Maze,0,7007,0,Manhattan,1,Dijkstra,None,0.4437,1921,7,806,1,1
7,64,Maze,0,7007,0,Manhattan,1,Greedy,Manhattan,0.4285,1849,8,806,1,1
7,64,Maze,0,7007,0,Manhattan,1,A*,WallAware,0.6219,1921,7,806,1,1
7,64,Maze,0,7007,0,Manhattan,1,BiA*,WallAware,0.4952,1711,12,806,1,1
8,64,Maze,0,8008,0,Manhattan,1,BFS,None,0.2744,1921,8,756,1,1
8,64,Maze,0,8008,0,Manhattan,1,Dijkstra,None,0.3826,1921,8,756,1,1
8,64,Maze,0,8008,0,Manhattan,1,Greedy,Manhattan,0.2748,1371,8,756,1,1
8,64,Maze,0,8008,0,Manhattan,1,A*,WallAware,0.4443,1921,8,756,1,1
8,64,Maze,0,8008,0,Manhattan,1,BiA*,WallAware,0.4187,1460,12,756,1,1
9,64,Maze,0,9009,0,Manhattan,1,BFS,None,0.3743,1921,10,625,1,1
9,64,Maze,0,9009,0,Manhattan,1,Dijkstra,None,0.6131,1921,9,625,1,1
9,64,Maze,0,9009,0,Manhattan,1,Greedy,Manhattan,0.3804,1611,13,625,1,1
9,64,Maze,0,9009,0,Manhattan,1,A*,WallAware,0.5547,1889,12,625,1,1
9,64,Maze,0,9009,0,Manhattan,1,BiA*,WallAware,0.4938,1765,16,625,1,1
10,64,Maze,0,10010,0,Manhattan,1,BFS,None,0.4658,1921,9,622,1,1
10,64,Maze,0,10010,0,Manhattan,1,Dijkstra,None,0.4676,1921,8,622,1,1
10,64,Maze,0,10010,0,Manhattan,1,Greedy,Manhattan,0.3535,1358,11,622,1,1
10,64,Maze,0,10010,0,Manhattan,1,A*,WallAware,0.5202,1870,9,622,1,1
10,64,Maze,0,10010,0,Manhattan,1,BiA*,WallAware,0.3643,1287,14,622,1,1
11,64,Maze,0,11011,0,Manhattan,1,BFS,None,0.3060,1921,9,731,1,1
11,64,Maze,0,11011,0,Manhattan,1,Dijkstra,None,0.4623,1921,8,731,1,1
11,64,Maze,0,11011,0,Manhattan,1,Greedy,Manhattan,0.3602,1590,12,731,1,1
11,64,Maze,0,11011,0,Manhattan,1,A*,WallAware,0.4764,1834,7,731,1,1
11,64,Maze,0,11011,0,Manhattan,1,BiA*,WallAware,0.5101,1754,12,731,1,1
12,64,Maze,0,12012,0,Manhattan,1,BFS,None,0.2784,1920,11,612,1,1
12,64,Maze,0,12012,0,Manhattan,1,Dijkstra,None,0.4374,1920,11,612,1,1
12,64,Maze,0,12012,0,Manhattan,1,Greedy,Manhattan,0.3065,1337,12,612,1,1
12,64,Maze,0,12012,0,Manhattan,1,A*,WallAware,0.5027,1912,8,612,1,1
12,64,Maze,0,12012,0,Manhattan,1,BiA*,WallAware,0.5804,1699,14,612,1,1
13,64,Maze,0,13013,0,Manhattan,1,BFS,None,0.3553,1921,8,565,1,1
13,64,Maze,0,13013,0,Manhattan,1,Dijkstra,None,0.3564,1921,7,565,1,1
13,64,Maze,0,13013,0,Manhattan,1,Greedy,Manhattan,0.3103,1509,15,565,1,1
13,64,Maze,0,13013,0,Manhattan,1,A*,WallAware,0.5018,1921,10,565,1,1
13,64,Maze,0,13013,0,Manhattan,1,BiA*,WallAware,0.2503,1033,10,565,1,1
14,64,Maze,0,14014,0,Manhattan,1,BFS,None,0.2435,1921,8,890,1,1
14,64,Maze,0,14014,0,Manhattan,1,Dijkstra,None,0.3111,1921,7,890,1,1
14,64,Maze,0,14014,0,Manhattan,1,Greedy,Manhattan,0.4468,1867,12,890,1,1
14,64,Maze,0,14014,0,Manhattan,1,A*,WallAware,0.4155,1921,8,890,1,1
14,64,Maze,0,14014,0,Manhattan,1,BiA*,WallAware,0.4698,1736,13,890,1,1
15,64,Maze,0,15015,0,Manhattan,1,BFS,None,0.2850,1920,11,497,1,1
15,64,Maze,0,15015,0,Manhattan,1,Dijkstra,None,0.3825,1920,11,497,1,1
15,64,Maze,0,15015,0,Manhattan,1,Greedy,Manhattan,0.3039,1536,13,497,1,1
15,64,Maze,0,15015,0,Manhattan,1,A*,WallAware,0.4666,1915,18,497,1,1
15,64,Maze,0,15015,0,Manhattan,1,BiA*,WallAware,0.3659,1133,9,497,1,1
16,64,Maze,0,16016,0,Manhattan,1,BFS,None,0.2892,1920,9,733,1,1
