trial,N,mapType,density,seed,diag,heuristicUI,deceptiveMaze,algo,algoHeuristic,runtimeMs,nodesExpanded,peakFrontier,pathLength,found,optimal
0,64,Random,0.2,0,0,Manhattan,0,BFS,None,1.7465,3253,65,127,1,1
0,64,Random,0.2,0,0,Manhattan,0,Dijkstra,None,3.2160,3253,70,127,1,1
0,64,Random,0.2,0,0,Manhattan,0,Greedy,Manhattan,0.4313,174,143,147,1,0
0,64,Random,0.2,0,0,Manhattan,0,A*,Manhattan,0.8637,921,209,127,1,1
0,64,Random,0.2,0,0,Manhattan,0,BiA*,Manhattan,0.5694,638,269,127,1,1
1,64,Random,0.2,1001,0,Manhattan,0,BFS,None,0.9679,3273,58,127,1,1
1,64,Random,0.2,1001,0,Manhattan,0,Dijkstra,None,1.3104,3273,64,127,1,1
1,64,Random,0.2,1001,0,Manhattan,0,Greedy,Manhattan,0.0962,135,134,129,1,0
1,64,Random,0.2,1001,0,Manhattan,0,A*,Manhattan,0.5885,692,213,127,1,1
1,64,Random,0.2,1001,0,Manhattan,0,BiA*,Manhattan,0.5580,677,293,127,1,1
2,64,Random,0.2,2002,0,Manhattan,0,BFS,None,0.6938,3238,64,127,1,1
2,64,Random,0.2,2002,0,Manhattan,0,Dijkstra,None,1.3675,3238,69,127,1,1
2,64,Random,0.2,2002,0,Manhattan,0,Greedy,Manhattan,0.0938,171,143,151,1,0
2,64,Random,0.2,2002,0,Manhattan,0,A*,Manhattan,0.2754,1027,286,127,1,1
2,64,Random,0.2,2002,0,Manhattan,0,BiA*,Manhattan,0.2669,600,222,127,1,1
3,64,Random,0.2,3003,0,Manhattan,0,BFS,None,0.8811,3310,61,127,1,1
3,64,Random,0.2,3003,0,Manhattan,0,Dijkstra,None,1.0867,3310,70,127,1,1
3,64,Random,0.2,3003,0,Manhattan,0,Greedy,Manhattan,0.1295,166,144,147,1,0
3,64,Random,0.2,3003,0,Manhattan,0,A*,Manhattan,0.2610,796,239,127,1,1
3,64,Random,0.2,3003,0,Manhattan,0,BiA*,Manhattan,0.4634,713,277,127,1,1
4,64,Random,0.2,4004,0,Manhattan,0,BFS,None,0.6408,3236,67,127,1,1
4,64,Random,0.2,4004,0,Manhattan,0,Dijkstra,None,1.0040,3237,70,127,1,1
4,64,Random,0.2,4004,0,Manhattan,0,Greedy,Manhattan,0.1033,207,142,165,1,0
4,64,Random,0.2,4004,0,Manhattan,0,A*,Manhattan,0.5673,1390,293,127,1,1
4,64,Random,0.2,4004,0,Manhattan,0,BiA*,Manhattan,0.2553,695,248,127,1,1
5,64,Random,0.2,5005,0,Manhattan,0,BFS,None,0.6767,3308,62,127,1,1
5,64,Random,0.2,5005,0,Manhattan,0,Dijkstra,None,0.7674,3308,69,127,1,1
