trial,N,mapType,density,seed,diag,heuristicUI,deceptiveMaze,algo,algoHeuristic,runtimeMs,nodesExpanded,peakFrontier,pathLength,found,optimal
0,64,Maze,0,0,0,Manhattan,1,BFS,None,0.9572,1921,6,881,1,1
0,64,Maze,0,0,0,Manhattan,1,Dijkstra,None,1.3806,1921,5,881,1,1
0,64,Maze,0,0,0,Manhattan,1,Greedy,Manhattan,1.8380,1883,8,881,1,1
0,64,Maze,0,0,0,Manhattan,1,A*,WallAware,1.5975,1849,7,881,1,1
0,64,Maze,0,0,0,Manhattan,1,BiA*,WallAware,1.3205,1795,12,881,1,1
1,64,Maze,0,1001,0,Manhattan,1,BFS,None,0.2608,1921,7,1035,1,1
1,64,Maze,0,1001,0,Manhattan,1,Dijkstra,None,0.4703,1921,6,1035,1,1
1,64,Maze,0,1001,0,Manhattan,1,Greedy,Manhattan,0.7186,1524,17,1035,1,1
1,64,Maze,0,1001,0,Manhattan,1,A*,WallAware,1.2190,1915,7,1035,1,1
1,64,Maze,0,1001,0,Manhattan,1,BiA*,WallAware,1.0287,1739,8,1035,1,1
2,64,Maze,0,2002,0,Manhattan,1,BFS,None,0.7784,1921,7,1061,1,1
2,64,Maze,0,2002,0,Manhattan,1,Dijkstra,None,0.8448,1921,5,1061,1,1
2,64,Maze,0,2002,0,Manhattan,1,Greedy,Manhattan,0.6738,1913,8,1061,1,1
2,64,Maze,0,2002,0,Manhattan,1,A*,WallAware,0.9134,1921,8,1061,1,1
2,64,Maze,0,2002,0,Manhattan,1,BiA*,WallAware,0.6019,1894,12,1061,1,1
3,64,Maze,0,3003,0,Manhattan,1,BFS,None,0.3410,1911,10,803,1,1
3,64,Maze,0,3003,0,Manhattan,1,Dijkstra,None,0.4690,1911,9,803,1,1
3,64,Maze,0,3003,0,Manhattan,1,Greedy,Manhattan,0.3881,1592,11,803,1,1
3,64,Maze,0,3003,0,Manhattan,1,A*,WallAware,0.4400,1886,10,803,1,1
3,64,Maze,0,3003,0,Manhattan,1,BiA*,WallAware,0.6969,1884,13,803,1,1
4,64,Maze,0,4004,0,Manhattan,1,BFS,None,0.3200,1921,10,604,1,1
4,64,Maze,0,4004,0,Manhattan,1,Dijkstra,None,0.5543,1921,9,604,1,1
4,64,Maze,0,4004,0,Manhattan,1,Greedy,Manhattan,0.4610,1869,8,604,1,1
4,64,Maze,0,4004,0,Manhattan,1,A*,WallAware,0.4765,1916,10,604,1,1
4,64,Maze,0,4004,0,Manhattan,1,BiA*,WallAware,0.6707,1323,11,604,1,1
5,64,Maze,0,5005,0,Manhattan,1,BFS,None,0.4423,1921,12,605,1,1
5,64,Maze,0,5005,0,Manhattan,1,Dijkstra,None,0.4749,1921,12,605,1,1
5,64,Maze,0,5005,0,Manhattan,1,Greedy,Manhattan,0.2687,1094,7,605,1,1
5,64,Maze,0,5005,0,Manhattan,1,A*,WallAware,0.4513,1921,9,605,1,1
5,64,Maze,0,5005,0,Manhattan,1,BiA*,WallAware,0.6652,1261,12,605,1,1
6,64,Maze,0,6006,0,Manhattan,1,BFS,None,0.5545,1921,7,996,1,1
6,64,Maze,0,6006,0,Manhattan,1,Dijkstra,None,0.5023,1921,6,996,1,1
6,64,Maze,0,6006,0,Manhattan,1,Greedy,Manhattan,0.4296,1468,14,996,1,1
6,64,Maze,0,6006,0,Manhattan,1,A*,WallAware,0.4948,1918,6,996,1,1
6,64,Maze,0,6006,0,Manhattan,1,BiA*,WallAware,0.6247,1900,12,996,1,1
7,64,Maze,0,7007,0,Manhattan,1,BFS,None,0.3169,1921,8,806,1,1
7,64,Maze,0,7007,0,Manhattan,1,Dijkstra,None,0.4665,1921,7,806,1,1
7,64,Maze,0,7007,0,Manhattan,1,Greedy,Manhattan,0.3693,1849,8,806,1,1
7,64,Maze,0,7007,0,Manhattan,1,A*,WallAware,0.5165,1921,7,806,1,1
7,64,Maze,0,7007,0,Manhattan,1,BiA*,WallAware,0.4430,1711,12,806,1,1
8,64,Maze,0,8008,0,Manhattan,1,BFS,None,0.3323,1921,8,756,1,1
8,64,Maze,0,8008,0,Manhattan,1,Dijkstra,None,0.4665,1921,8,756,1,1
8,64,Maze,0,8008,0,Manhattan,1,Greedy,Manhattan,0.3053,1371,8,756,1,1
8,64,Maze,0,8008,0,Manhattan,1,A*,WallAware,0.4413,1921,8,756,1,1
8,64,Maze,0,8008,0,Manhattan,1,BiA*,WallAware,0.4890,1460,12,756,1,1
9,64,Maze,0,9009,0,Manhattan,1,BFS,None,0.3389,1921,10,625,1,1
9,64,Maze,0,9009,0,Manhattan,1,Dijkstra,None,0.5543,1921,9,625,1,1
9,64,Maze,0,9009,0,Manhattan,1,Greedy,Manhattan,0.3278,1611,13,625,1,1
9,64,Maze,0,9009,0,Manhattan,1,A*,WallAware,0.4461,1889,12,625,1,1
9,64,Maze,0,9009,0,Manhattan,1,BiA*,WallAware,0.4931,1765,16,625,1,1
